Thousand Oaks - 5395016
Available Units - As Of Property Date: 03/10/2026

Parameters: Needed by date - 03/11/2026; 
Accessibility: M-Mobility; H-Hearing; V-Vision

Unit,Amenity,Floor Plan,Floor Plan Group,Rentable Sq Ft,Status,Available Date,Move-In Ready Date,Specials,Deposit,Price,Best Price,Accessibility
 Unit 3-16-0205,23 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,Vacant ready,12/14/2025,01/16/2026,3,0.0000,1397,1397,
 Unit 3-11-0302,24 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,12/17/2025,01/16/2026,3,0.0000,1807,1807,
 Unit 5-01-0221,24 Of 102, 5b3 - 5b3," 2x2 - Two bedroom, two bath",1985 Sq ft.,Vacant ready,12/30/2025,01/21/2026,3,0.0000,2795,2795,
 Unit 7-04-0303,27 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,Vacant ready,12/30/2025,01/19/2026,3,0.0000,1399,1399,
 Unit 7-02-0302,29 Of 102, 7A7.4 - 7A7.4, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,01/02/2026,01/19/2026,3,0.0000,1429,1429,
 Unit 7-09-0111,30 Of 102, 7B3 - 7B3," 2x2 - Two bedroom, two bath",1130 Sq ft.,Vacant ready,01/04/2026,01/19/2026,3,0.0000,2421,2421,
 Unit 3-08-0202,23 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,01/05/2026,01/16/2026,3,0.0000,1734,1734,
 Unit 4-22-0222,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,01/05/2026,01/19/2026,3,0.0000,1565,1565,
 Unit 4-22-0304,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/06/2026,01/19/2026,3,0.0000,1348,1348,
 Unit 7-11-0318,30 Of 102, 7A7.7 - 7A7.7, 1x1 - One bedroom one bath,769 Sq ft.,Vacant ready,01/07/2026,01/30/2026,3,0.0000,1444,1444,
 Unit 8-01-3096,29 Of 102, 8A6.2 - 8A6.2, 1x1 - One bedroom one bath,782 Sq ft.,Vacant ready,01/08/2026,01/19/2026,3,0.0000,1493,1493,
 Unit 3-17-0303,24 Of 102, 3b2-1 - 3b2-1," 2x2 - Two bedroom, two bath",1125 Sq ft.,Vacant ready,01/15/2026,02/23/2026,2,0.0000,1693,1693,
 Unit 5-18-0218,25 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,01/15/2026,02/12/2026,3,0.0000,1245,1245,
 Unit 5-17-0215,23 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,Vacant ready,01/17/2026,02/25/2026,2,0.0000,1749,1749,
 Unit 7-10-0302,29 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,Vacant ready,01/17/2026,02/16/2026,3,0.0000,1689,1689,
 Unit 5-17-0311,25 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,Vacant ready,01/18/2026,02/12/2026,3,0.0000,1862,1862,
 Unit 8-01-2083,28 Of 102, 8A3.2 - 8A3.2, 1x1 - One bedroom one bath,722 Sq ft.,Vacant ready,01/21/2026,02/16/2026,3,0.0000,1412,1412,
 Unit 4-26-0334,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,01/23/2026,02/23/2026,2,0.0000,1591,1591,
 Unit 5-17-0310,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/24/2026,02/12/2026,3,0.0000,1215,1215,
 Unit 7-02-0116,29 Of 102, 7A7.4 - 7A7.4, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,01/25/2026,02/16/2026,3,0.0000,1650,1650,
 Unit 7-TH1-0104,30 Of 102, 7THB1 - 7THB1," 2x2.5 - Two bedroom, 2.5 bath",1355 Sq ft.,Vacant ready,01/27/2026,02/16/2026,3,0.0000,2677,2669,
 Unit 8-01-2034,30 Of 102, 8B2.2 - 8B2.2," 2x2 - Two bedroom, two bath",1171 Sq ft.,Vacant ready,01/27/2026,02/16/2026,3,0.0000,2331,2324,
 Unit 8-01-1048,28 Of 102, 8A3.1 - 8A3.1, 1x1 - One bedroom one bath,710 Sq ft.,Vacant ready,01/30/2026,02/16/2026,3,0.0000,1546,1546,
 Unit 4-21-0204,26 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/31/2026,02/23/2026,2,0.0000,1421,1421,
 Unit 5-18-0346,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,01/31/2026,02/12/2026,3,0.0000,1270,1270,
 Unit 7-02-0201,28 Of 102, 7B5 - 7B5," 2x2 - Two bedroom, two bath",1222 Sq ft.,Vacant ready,02/07/2026,02/24/2026,3,0.0000,2382,2382,
 Unit 8-01-2041,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,02/07/2026,02/24/2026,3,0.0000,1508,1508,
 Unit 5-18-0310,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,02/08/2026,02/23/2026,3,0.0000,1216,1216,
 Unit 8-01-3107,30 Of 102, 8B4.2 - 8B4.2," 2x2 - Two bedroom, two bath",1259 Sq ft.,Vacant ready,02/09/2026,03/12/2026,3,0.0000,2557,2557,
 Unit 4-27-0211,24 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,Vacant ready,02/09/2026,03/07/2026,2,0.0000,1476,1476,
 Unit 7-10-0306,30 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,Vacant ready,02/10/2026,02/24/2026,2,0.0000,1733,1733,
 Unit 4-24-0112,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,02/10/2026,03/06/2026,2,0.0000,1561,1561,
 Unit 5-11-0303,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,02/12/2026,02/25/2026,2,0.0000,1211,1211,
 Unit 4-26-0106,27 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,02/13/2026,03/07/2026,2,0.0000,1806,1806,
 Unit 7-09-0103,27 Of 102, 7A6.2 - 7A6.2, 1x1 - One bedroom one bath,650 Sq ft.,Vacant ready,02/19/2026,03/06/2026,2,0.0000,1403,1403,
 Unit 5-10-0203,22 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,02/19/2026,02/25/2026,2,0.0000,1191,1191,
 Unit 4-27-0313,25 Of 102, 4al2 - 4al2," 1x1.5 - One bedroom, 1.5 bath",1167 Sq ft.,Vacant ready,02/20/2026,02/23/2026,2,0.0000,1911,1911,
 Unit 5-18-0116,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant not ready,04/01/2025,03/31/2026,2,0.0000,1406,1406,
 Unit 5-18-0117,26 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant not ready,11/24/2025,03/31/2026,2,0.0000,1331,1331,
 Unit 3-21-0301,24 Of 102, 3b3-2t - 3b3-2t," 2x2 - Two bedroom, two bath",1228 Sq ft.,Vacant not ready,12/21/2025,03/09/2026,3,0.0000,1813,1813,
 Unit 4-27-0302,24 Of 102, 4bl4 - 4bl4," 2x2.5 - Two bedroom, 2.5 bath",1667 Sq ft.,Vacant not ready,01/13/2026,03/11/2026,2,0.0000,2458,2458,
 Unit 4-26-0104,26 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant not ready,02/01/2026,03/15/2026,2,0.0000,1771,1771,
 Unit 4-26-0204,26 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant not ready,02/01/2026,03/15/2026,2,0.0000,1691,1691,
 Unit 3-16-0115,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,Vacant not ready,02/03/2026,05/31/2026,2,0.0000,1326,1326,
 Unit 7-10-0107,31 Of 102, 7A9.2 - 7A9.2, 1x1 - One bedroom one bath,945 Sq ft.,Vacant not ready,02/16/2026,03/06/2026,2,0.0000,1818,1818,
 Unit 7-06-0209,29 Of 102, 7A7.1 - 7A7.1, 1x1 - One bedroom one bath,700 Sq ft.,Vacant not ready,02/17/2026,03/13/2026,2,0.0000,1388,1388,
 Unit 4-01-5790,24 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,Vacant not ready,02/19/2026,03/11/2026,2,0.0000,2762,2762,
 Unit 5-18-0125,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant not ready,02/19/2026,03/12/2026,2,0.0000,1326,1326,
 Unit 5-17-0104,25 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,02/19/2026,03/31/2026,2,0.0000,1296,1296,
 Unit 4c-02-S303,21 Of 102, a-4.2 - a-4.2, 1x1 - One bedroom one bath,969 Sq ft.,Vacant not ready,02/20/2026,03/11/2026,2,0.0000,1372,1372,
 Unit 4-24-0314,24 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,Vacant not ready,02/23/2026,03/11/2026,2,0.0000,1526,1526,
 Unit 4-24-0412,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,02/23/2026,03/11/2026,2,0.0000,1346,1346,
 Unit 4-02-7141,25 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,Vacant not ready,02/24/2026,03/11/2026,2,0.0000,2837,2837,
 Unit 7-07-0107,28 Of 102, 7A7.8 - 7A7.8, 1x1 - One bedroom one bath,775 Sq ft.,Vacant not ready,02/26/2026,03/12/2026,2,0.0000,1523,1523,
 Unit 4-26-0208,26 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,Vacant not ready,02/27/2026,03/13/2026,2,0.0000,1526,1526,
 Unit 5-18-0439,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant not ready,02/27/2026,03/13/2026,2,0.0000,1336,1336,
 Unit 4-26-0109,26 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,02/28/2026,03/14/2026,2,0.0000,1481,1481,
 Unit 4-21-0312,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,02/28/2026,03/14/2026,2,0.0000,1296,1296,
 Unit 3-03-0310,24 Of 102, 3b3-2 - 3b3-2," 2x2 - Two bedroom, two bath",1228 Sq ft.,Vacant not ready,03/01/2026,03/14/2026,2,0.0000,1738,1738,
 Unit 8-01-2011,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,Vacant not ready,03/01/2026,03/14/2026,2,0.0000,1508,1508,
 Unit 7-10-0203,28 Of 102, 7A8.1 - 7A8.1, 1x1 - One bedroom one bath,860 Sq ft.,Vacant not ready,03/02/2026,03/14/2026,2,0.0000,1618,1618,
 Unit 8-01-1001,28 Of 102, 8A5.2HC - 8A5.2HC, 1x1 - One bedroom one bath,768 Sq ft.,Vacant not ready,03/02/2026,03/14/2026,2,0.0000,1603,1603,
 Unit 4-26-0111,25 Of 102, 4b1 - 4b1," 2x2 - Two bedroom, two bath",1105 Sq ft.,Vacant not ready,03/03/2026,03/18/2026,2,0.0000,1678,1678,
 Unit 5-03-0327,23 Of 102, 5b1 - 5b1," 2x2 - Two bedroom, two bath",1140 Sq ft.,Vacant not ready,03/04/2026,03/31/2026,2,0.0000,1724,1724,
 Unit 8-01-3093,28 Of 102, 8A3.2 - 8A3.2, 1x1 - One bedroom one bath,722 Sq ft.,Vacant not ready,03/04/2026,03/18/2026,2,0.0000,1428,1428,
 Unit 7-02-0207,26 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,Vacant not ready,03/04/2026,03/18/2026,2,0.0000,1403,1403,
 Unit 7-04-0305,27 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,Vacant not ready,03/05/2026,03/19/2026,2,0.0000,1423,1423,
 Unit 7-04-0311,27 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,Vacant not ready,03/07/2026,03/21/2026,2,0.0000,1423,1423,
 Unit 3-09-0209,24 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant not ready,03/08/2026,03/21/2026,2,0.0000,1763,1763,
 Unit 7-TH2-0101,30 Of 102, 7THB1 - 7THB1," 2x2.5 - Two bedroom, 2.5 bath",1355 Sq ft.,Vacant not ready,03/09/2026,03/21/2026,2,0.0000,2707,2707,
 Unit 7-TH1-0102,29 Of 102, 7THB1 - 7THB1," 2x2.5 - Two bedroom, 2.5 bath",1355 Sq ft.,Vacant not ready,03/09/2026,03/21/2026,2,0.0000,2657,2657,
 Unit 4c-02-S207,22 Of 102, a-4.2 - a-4.2, 1x1 - One bedroom one bath,969 Sq ft.,Vacant not ready,03/09/2026,03/21/2026,2,0.0000,1397,1397,
 Unit 7-03-0304,29 Of 102, 7B2 - 7B2," 2x2 - Two bedroom, two bath",1094 Sq ft.,Vacant not ready,03/10/2026,03/24/2026,2,0.0000,2137,2137,
 Unit 3-11-0204,24 Of 102, 3b1 - 3b1," 2x2 - Two bedroom, two bath",1131 Sq ft.,Vacant not ready,03/10/2026,03/24/2026,2,0.0000,1668,1668,
 Unit 5-12-0303,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant not ready,03/11/2026,03/25/2026,2,0.0000,1336,1336,
 Unit 4-26-0230,25 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice,03/12/2026,03/26/2026,2,0.0000,1451,1451,
 Unit 3-25-0302,22 Of 102, 3b3-1t - 3b3-1t," 2x2 - Two bedroom, two bath",1183 Sq ft.,On notice,03/15/2026,03/28/2026,2,0.0000,1863,1863,
 Unit 4-26-0228,25 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice (Break),03/17/2026,03/31/2026,2,0.0000,1576,1576,
 Unit 5-13-0305,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,03/17/2026,03/31/2026,2,0.0000,1211,1211,
 Unit 4-03-7125,22 Of 102, 4b2thgg - 4b2thgg," 2x2.5 - Two bedroom, 2.5 bath",1493 Sq ft.,On notice,03/18/2026,04/01/2026,2,0.0000,2612,2612,
 Unit 3-04-7195,25 Of 102, 3thc1gg - 3thc1gg," 3x3 - Three bedroom, 3 bath",1479 Sq ft.,On notice,03/18/2026,04/01/2026,2,0.0000,2671,2601,
 Unit 5-18-0221,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,03/18/2026,04/01/2026,2,0.0000,1391,1391,
 Unit 3-28-0214,26 Of 102, 3a6g - 3a6g, 1x1 - One bedroom one bath,813 Sq ft.,On notice,03/19/2026,04/02/2026,2,0.0000,1596,1596,
 Unit 3-22-0204,23 Of 102, 3a5 - 3a5, 1x1 - One bedroom one bath,736 Sq ft.,On notice,03/19/2026,04/02/2026,2,0.0000,1421,1421,
 Unit 3-17-0301,26 Of 102, 3c2bg - 3c2bg," 3x2 - Three bedroom, two bath",1520 Sq ft.,On notice,03/21/2026,04/04/2026,2,0.0000,3005,2588,
 Unit 8-01-3083,28 Of 102, 8A3.2 - 8A3.2, 1x1 - One bedroom one bath,722 Sq ft.,On notice,03/21/2026,04/04/2026,2,0.0000,1428,1428,
 Unit 5-17-0316,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,03/22/2026,04/04/2026,2,0.0000,1286,1286,
 Unit 3-31-0204,23 Of 102, 3a5 - 3a5, 1x1 - One bedroom one bath,736 Sq ft.,On notice,03/22/2026,04/04/2026,2,0.0000,1296,1296,
 Unit 4-23-0302,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,03/22/2026,04/04/2026,2,0.0000,1296,1296,
 Unit 8-01-1089,29 Of 102, 8B4.1 - 8B4.1," 2x2 - Two bedroom, two bath",1244 Sq ft.,On notice,03/23/2026,04/04/2026,2,0.0000,2577,2577,
 Unit 7-10-0101,30 Of 102, 7A9.1 - 7A9.1, 1x1 - One bedroom one bath,907 Sq ft.,On notice,03/23/2026,04/04/2026,2,0.0000,1808,1808,
 Unit 4-23-0225,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,On notice,03/23/2026,04/04/2026,2,0.0000,1616,1616,
 Unit 3-33-0216,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,On notice,03/25/2026,04/08/2026,2,0.0000,1396,1396,
 Unit 8-01-2035,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,On notice,03/27/2026,04/10/2026,2,0.0000,1508,1508,
 Unit 5-18-0234,25 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,03/27/2026,04/10/2026,2,0.0000,1316,1316,
 Unit 8-01-3053,32 Of 102, 8B5.1 - 8B5.1," 2x2 - Two bedroom, two bath",1329 Sq ft.,On notice,03/28/2026,04/11/2026,2,0.0000,2632,2632,
 Unit 7-11-0407,31 Of 102, 7A7.7 - 7A7.7, 1x1 - One bedroom one bath,769 Sq ft.,On notice,03/28/2026,04/11/2026,2,0.0000,1443,1443,
 Unit 8-01-4080,35 Of 102, 8B6 - 8B6," 2x2 - Two bedroom, two bath",1346 Sq ft.,On notice,03/30/2026,04/11/2026,2,0.0000,2672,2672,
 Unit 8-01-4051,28 Of 102, 8A5.4 - 8A5.4, 1x1 - One bedroom one bath,774 Sq ft.,On notice,03/30/2026,04/11/2026,2,0.0000,1488,1488,
 Unit 8-01-4124,30 Of 102, 8A4 - 8A4, 1x1 - One bedroom one bath,727 Sq ft.,On notice (Break),03/31/2026,04/14/2026,2,0.0000,1508,1508,
 Unit 8-01-3030,30 Of 102, 8A3.1 - 8A3.1, 1x1 - One bedroom one bath,710 Sq ft.,On notice,04/02/2026,04/16/2026,2,0.0000,1493,1493,
 Unit 3-31-0112,24 Of 102, 3a3 - 3a3, 1x1 - One bedroom one bath,707 Sq ft.,On notice,04/02/2026,04/16/2026,2,0.0000,1346,1346,
 Unit 4-25-0204,26 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/03/2026,04/17/2026,2,0.0000,1446,1446,
 Unit 4-21-0212,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/03/2026,04/17/2026,2,0.0000,1296,1296,
 Unit 8-01-1044,28 Of 102, 8A3.1 - 8A3.1, 1x1 - One bedroom one bath,710 Sq ft.,On notice,04/04/2026,04/18/2026,2,0.0000,1553,1553,
 Unit 7-08-0203,27 Of 102, 7A7.1 - 7A7.1, 1x1 - One bedroom one bath,700 Sq ft.,On notice,04/04/2026,04/18/2026,2,0.0000,1313,1313,
 Unit 5-10-0302,24 Of 102, 5a3 - 5a3, 1x1 - One bedroom one bath,610 Sq ft.,On notice,04/06/2026,04/18/2026,2,0.0000,1196,1196,
 Unit 8-01-2053,32 Of 102, 8B5.1 - 8B5.1," 2x2 - Two bedroom, two bath",1329 Sq ft.,On notice,04/07/2026,04/21/2026,2,0.0000,2661,2632,
 Unit 8-01-2010,30 Of 102, 8B2.2 - 8B2.2," 2x2 - Two bedroom, two bath",1171 Sq ft.,On notice,04/07/2026,04/21/2026,2,0.0000,2383,2357,
 Unit 8-01-1122,29 Of 102, 8A4 - 8A4, 1x1 - One bedroom one bath,727 Sq ft.,On notice,04/07/2026,04/21/2026,2,0.0000,1643,1643,
 Unit 7-09-0109,28 Of 102, 7A7.1 - 7A7.1, 1x1 - One bedroom one bath,700 Sq ft.,On notice,04/07/2026,04/21/2026,2,0.0000,1463,1463,
 Unit 3-16-0307,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,On notice (Break),04/07/2026,04/21/2026,2,0.0000,1296,1296,
 Unit 4-26-0206,27 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,On notice,04/08/2026,04/22/2026,2,0.0000,1716,1716,
 Unit 7-03-0308,26 Of 102, 7A6.3 - 7A6.3, 1x1 - One bedroom one bath,650 Sq ft.,On notice,04/10/2026,04/24/2026,2,0.0000,1253,1253,
 Unit 5-17-0118,26 Of 102, 5thc1 - 5thc1," 3x2.5 - Three bedroom, 2.5 bath",1624 Sq ft.,On notice,04/11/2026,04/25/2026,2,0.0000,2522,2494,
 Unit 4-26-0316,26 Of 102, 4b1 - 4b1," 2x2 - Two bedroom, two bath",1105 Sq ft.,On notice,04/11/2026,04/25/2026,2,0.0000,1808,1788,
 Unit 8-01-1119,27 Of 102, 8A1.1 - 8A1.1, 1x1 - One bedroom one bath,575 Sq ft.,On notice,04/11/2026,04/25/2026,2,0.0000,1373,1373,
 Unit 4-21-0106,24 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice,04/11/2026,04/25/2026,2,0.0000,1506,1506,
 Unit 3-30-0124,23 Of 102, 3c3g - 3c3g," 3x2 - Three bedroom, two bath",1453 Sq ft.,On notice,04/13/2026,04/25/2026,2,0.0000,2993,2578,
 Unit 4-22-0302,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/13/2026,04/25/2026,2,0.0000,1371,1371,
 Unit 5-15-0205,22 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/13/2026,04/25/2026,2,0.0000,1191,1191,
 Unit 3-16-0217,24 Of 102, 3a4 - 3a4, 1x1 - One bedroom one bath,716 Sq ft.,On notice,04/13/2026,04/25/2026,2,0.0000,1296,1296,
 Unit 5-17-0209,24 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/14/2026,04/28/2026,2,0.0000,1241,1241,
